 date: 03/03/2024 00:00:00, beginning time: 02:31:15.6776443, controller name: /index.html, action: GET, user name: unconnected, duration: 81ms.
 date: 07/03/2024 00:00:00, beginning time: 13:40:35.5825210, controller name: /swagger/swagger-ui-bundle.js, action: GET, user name: unconnected, duration: 405ms.
 date: 07/03/2024 00:00:00, beginning time: 13:40:36.4382582, controller name: /swagger/favicon-32x32.png, action: GET, user name: unconnected, duration: 0ms.
 date: 07/03/2024 00:00:00, beginning time: 13:40:36.5591764, controller name: /swagger/v1/swagger.json, action: GET, user name: unconnected, duration: 225ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:22.5705137, controller name: /Chore, action: GET, user name: unconnected, duration: 121ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:24.1733944, controller name: /Chore/3, action: DELETE, user name: unconnected, duration: 25ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:24.1879355, controller name: /Chore, action: GET, user name: unconnected, duration: 3ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:24.9833721, controller name: /Chore/3, action: DELETE, user name: unconnected, duration: 4ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:24.9913955, controller name: /Chore, action: GET, user name: unconnected, duration: 0ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:25.6824715, controller name: /Chore/4, action: DELETE, user name: unconnected, duration: 5ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:25.6891519, controller name: /Chore, action: GET, user name: unconnected, duration: 0ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:31.1695594, controller name: /Chore, action: POST, user name: unconnected, duration: 53ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:31.1798398, controller name: /Chore, action: GET, user name: unconnected, duration: 0ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:34.4612086, controller name: /Chore, action: POST, user name: unconnected, duration: 4ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:34.4713122, controller name: /Chore, action: GET, user name: unconnected, duration: 0ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:37.3066875, controller name: /Chore, action: POST, user name: unconnected, duration: 3ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:37.3155181, controller name: /Chore, action: GET, user name: unconnected, duration: 0ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:42.6619499, controller name: /swagger/index.html, action: GET, user name: unconnected, duration: 69ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:42.7073502, controller name: /swagger/swagger-ui-standalone-preset.js, action: GET, user name: unconnected, duration: 20ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:42.7191602, controller name: /swagger/swagger-ui-bundle.js, action: GET, user name: unconnected, duration: 32ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:43.2134683, controller name: /swagger/v1/swagger.json, action: GET, user name: unconnected, duration: 71ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:44.2858673, controller name: /swagger/favicon-32x32.png, action: GET, user name: unconnected, duration: 1ms.
 date: 07/03/2024 00:00:00, beginning time: 18:10:52.4601577, controller name: /Chore, action: GET, user name: unconnected, duration: 0ms.
 date: 07/03/2024 00:00:00, beginning time: 18:35:18.8780926, controller name: /Chore, action: GET, user name: unconnected, duration: 105ms.
 date: 07/03/2024 00:00:00, beginning time: 18:35:22.8465473, controller name: /swagger/index.html, action: GET, user name: unconnected, duration: 52ms.
 date: 07/03/2024 00:00:00, beginning time: 18:35:23.4356773, controller name: /swagger/v1/swagger.json, action: GET, user name: unconnected, duration: 61ms.
 date: 07/03/2024 00:00:00, beginning time: 18:51:08.3823957, controller name: /Chore, action: GET, user name: unconnected, duration: 140ms.
 date: 07/03/2024 00:00:00, beginning time: 18:51:13.5943630, controller name: /swagger/index.html, action: GET, user name: unconnected, duration: 119ms.
 date: 07/03/2024 00:00:00, beginning time: 18:51:14.0343294, controller name: /swagger/v1/swagger.json, action: GET, user name: unconnected, duration: 159ms.
 date: 07/03/2024 00:00:00, beginning time: 18:51:22.6425500, controller name: /swagger/index.html, action: GET, user name: unconnected, duration: 3ms.
 date: 07/03/2024 00:00:00, beginning time: 18:51:22.9956524, controller name: /swagger/v1/swagger.json, action: GET, user name: unconnected, duration: 10ms.
 date: 07/03/2024 00:00:00, beginning time: 18:58:03.2135722, controller name: /Chore, action: GET, user name: unconnected, duration: 84ms.
 date: 07/03/2024 00:00:00, beginning time: 18:58:08.3175446, controller name: /swagger/index.html, action: GET, user name: unconnected, duration: 75ms.
 date: 07/03/2024 00:00:00, beginning time: 18:58:08.6413901, controller name: /swagger/v1/swagger.json, action: GET, user name: unconnected, duration: 108ms.
 date: 07/03/2024 00:00:00, beginning time: 19:26:16.8615020, controller name: /Chore, action: GET, user name: unconnected, duration: 71ms.
 date: 07/03/2024 00:00:00, beginning time: 19:26:20.8702072, controller name: /swagger/index.html, action: GET, user name: unconnected, duration: 52ms.
 date: 07/03/2024 00:00:00, beginning time: 19:26:21.1875779, controller name: /swagger/v1/swagger.json, action: GET, user name: unconnected, duration: 61ms.
